school,conference,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,median,mean,year
Oregon,Pac-12,16.0,20.0,21.0,,,,,,,,,,,,,,,,,20.0,19.25,2019
Purdue,Big Ten,22.0,19.0,18.0,24.0,,,,,,,,18.0,15.0,11.0,13.0,12.0,9.0,12.0,13.0,14.0,15.384615384615385,2019
St. John's (NY),Big East,,,,,,,,,23.0,,,,,,,,,,,23.0,23.0,2019
Syracuse,ACC,14.0,,,,,,,,,,,,,,,,,,,14.0,14.0,2019
TCU,Big 12,21.0,18.0,,,,,,,,,,,,,,,,,,19.5,19.5,2019
Tennessee,SEC,6.0,5.0,7.0,7.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,7.0,4.0,8.0,5.0,4.0,4.1,2019
Texas,Big 12,,,17.0,,,,,,,,,,,,,,,,,17.0,17.0,2019
Texas Tech,Big 12,,,19.0,13.0,10.0,11.0,13.0,11.0,8.0,9.0,13.0,15.0,18.0,15.0,14.0,11.0,8.0,6.0,10.0,11.0,11.944444444444445,2019
UCF,AAC,,,,,,,,,,,,,,,,,,,,,,2019
UCLA,Pac-12,20.0,17.0,,,,,,,,,,,,,,,,,,18.5,18.5,2019
UNC,ACC,7.0,6.0,13.0,12.0,12.0,10.0,14.0,15.0,12.0,15.0,12.0,10.0,8.0,8.0,9.0,5.0,3.0,3.0,4.0,10.0,9.4,2019
Utah State,MWC,,,,,,,,,,,,,,,,,,,25.0,25.0,25.0,2019
Villanova,Big East,8.0,,23.0,21.0,16.0,,,,,21.0,18.0,14.0,13.0,13.0,16.0,,23.0,25.0,22.0,18.0,17.928571428571427,2019
Virginia,ACC,5.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.75,2019
Virginia Tech,ACC,17.0,14.0,12.0,14.0,13.0,13.0,10.0,10.0,7.0,7.0,8.0,11.0,10.0,16.0,18.0,19.0,16.0,15.0,15.0,13.0,12.9,2019
Washington,Pac-12,24.0,,,,,,,,,,,,,,,25.0,,,,24.5,24.5,2019
West Virginia,Big 12,13.0,,,,,,,,,,,,,,,,,,,13.0,13.0,2019
Wisconsin,Big Ten,,,22.0,16.0,19.0,17.0,16.0,23.0,,,,23.0,19.0,23.0,23.0,18.0,21.0,19.0,21.0,20.0,20.0,2019
Wofford,Southern,,,,,,,,,,,,,,,,25.0,22.0,20.0,19.0,21.0,21.4,2019
